utc_timestamp,cet_cest_timestamp,AT_price_day_ahead,DE_LU_price_day_ahead,DK_1_price_day_ahead,DK_2_price_day_ahead,GB_GBN_price_day_ahead,IE_sem_price_day_ahead,IT_BRNN_price_day_ahead,IT_CNOR_price_day_ahead,IT_CSUD_price_day_ahead,IT_FOGN_price_day_ahead,IT_GR_price_day_ahead,IT_NORD_price_day_ahead,IT_NORD_AT_price_day_ahead,IT_NORD_CH_price_day_ahead,IT_NORD_FR_price_day_ahead,IT_NORD_SI_price_day_ahead,IT_PRGP_price_day_ahead,IT_ROSN_price_day_ahead,IT_SACO_AC_price_day_ahead,IT_SACO_DC_price_day_ahead,IT_SARD_price_day_ahead,IT_SICI_price_day_ahead,IT_SUD_price_day_ahead,NO_1_price_day_ahead,NO_2_price_day_ahead,NO_3_price_day_ahead,NO_4_price_day_ahead,NO_5_price_day_ahead,SE_1_price_day_ahead,SE_2_price_day_ahead,SE_3_price_day_ahead,SE_4_price_day_ahead
2016-12-31T23:00:00Z,2017-01-01T00:00:00+0100,25,,20.96,20.96,51.52,,53,53,53,53,53,53,53,53,53,53,57.16,53,53,53,53,57.16,53,28.4,28.4,24.03,24.03,28.4,24.03,24.03,24.03,24.03
2017-01-01T00:00:00Z,2017-01-01T01:00:00+0100,26,,20.9,20.9,51.95,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,28.17,28.17,24.03,24.03,28.17,24.03,24.03,24.03,24.03
2017-01-01T01:00:00Z,2017-01-01T02:00:00+0100,24,,18.13,18.13,65,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,28.03,28.03,24.02,24.02,28.03,24.02,24.02,24.02,24.02
2017-01-01T02:00:00Z,2017-01-01T03:00:00+0100,20,,16.03,16.03,51.97,,47.27,47.27,47.27,47.27,47.27,47.27,47.27,47.27,47.27,47.27,47.27,47.27,47.27,47.27,47.27,47.27,47.27,28,28,23.19,23.19,28,23.19,23.19,23.19,23.19
2017-01-01T03:00:00Z,2017-01-01T04:00:00+0100,20,,16.43,16.43,41.92,,45.49,45.49,45.49,45.49,45.49,45.49,45.49,45.49,45.49,45.49,45.49,45.49,45.49,45.49,45.49,45.49,45.49,28.02,28.02,24.1,24.1,28.02,24.1,24.1,24.1,24.1
2017-01-01T04:00:00Z,2017-01-01T05:00:00+0100,19,,13.75,13.75,38.97,,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.69,28.14,28.14,25.01,25.01,28.14,25.01,25.01,25.01,25.01
2017-01-01T05:00:00Z,2017-01-01T06:00:00+0100,15,,11.1,11.1,37.69,,48.07,48.07,48.07,48.07,48.07,48.07,48.07,48.07,48.07,48.07,48.07,48.07,48.07,48.07,48.07,48.07,48.07,28.31,28.31,25.62,25.62,28.31,25.62,25.62,25.62,25.62
2017-01-01T06:00:00Z,2017-01-01T07:00:00+0100,14,,15.47,15.47,37.38,,45.67,45.67,45.67,45.67,45.67,45.67,45.67,45.67,45.67,45.67,45.67,45.67,45.67,45.67,45.67,45.67,45.67,28.09,28.09,25.87,25.87,28.09,25.87,25.87,25.87,25.87
2017-01-01T07:00:00Z,2017-01-01T08:00:00+0100,18,,16.88,16.88,28.88,,45.48,45.48,45.48,45.48,45.48,45.48,45.48,45.48,45.48,45.48,45.48,45.48,45.48,45.48,45.48,45.48,45.48,27.73,27.73,26.18,26.18,27.73,26.18,26.18,26.18,26.18
2017-01-01T08:00:00Z,2017-01-01T09:00:00+0100,20,,21.81,21.81,35.15,,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,42.06,28.28,28.28,25.74,25.74,28.28,25.74,25.74,25.74,25.74
2017-01-01T09:00:00Z,2017-01-01T10:00:00+0100,21,,26.24,26.24,39.19,,46.86,46.86,46.86,46.86,46.86,46.86,46.86,46.86,46.86,46.86,46.86,46.86,46.86,46.86,46.86,46.86,46.86,28.36,28.36,26.89,26.89,28.36,26.89,26.89,26.89,26.89
2017-01-01T10:00:00Z,2017-01-01T11:00:00+0100,23,,27.48,27.48,44.88,,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.02,48.02,28.52,28.52,27.48,27.48,28.52,27.48,27.48,27.48,27.48
2017-01-01T11:00:00Z,2017-01-01T12:00:00+0100,22,,28.04,28.04,48.66,,49.57,49.57,49.57,49.57,49.57,49.57,49.57,49.57,49.57,49.57,49.57,49.57,49.57,49.57,49.57,49.57,49.57,28.51,28.51,28.04,28.04,28.51,28.04,28.04,28.04,28.04
2017-01-01T12:00:00Z,2017-01-01T13:00:00+0100,20,,28.7,28.7,55.01,,48.69,48.69,48.69,48.69,48.69,48.69,48.69,48.69,48.69,48.69,48.69,48.69,48.69,48.69,48.69,48.69,48.69,28.74,28.74,28.7,28.7,28.74,28.7,28.7,28.7,28.7
2017-01-01T13:00:00Z,2017-01-01T14:00:00+0100,20,,29.66,29.66,60.75,,46.91,46.91,46.91,46.91,46.91,46.91,46.91,46.91,46.91,46.91,46.91,46.91,46.91,46.91,46.91,46.91,46.91,29.66,29.66,29.66,29.66,29.66,29.66,29.66,29.66,29.66
2017-01-01T14:00:00Z,2017-01-01T15:00:00+0100,23,,30.38,30.38,58,,49.43,49.43,49.43,49.43,49.43,49.43,49.43,49.43,49.43,49.43,49.43,49.43,49.43,49.43,49.43,49.43,49.43,30.38,30.38,30.38,30.38,30.38,30.38,30.38,30.38,30.38
2017-01-01T15:00:00Z,2017-01-01T16:00:00+0100,31,,30.8,30.8,50,,50.45,50.45,50.45,50.45,50.45,50.45,50.45,50.45,50.45,50.45,57.26,50.45,50.45,50.45,50.45,57.26,50.45,30.8,30.76,30.76,30.76,30.76,30.8,30.8,30.8,30.8
2017-01-01T16:00:00Z,2017-01-01T17:00:00+0100,38,,30.93,30.93,55,,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,53.3,66.74,53.3,53.3,53.3,53.3,66.74,53.3,30.93,30.93,30.93,30.93,30.93,30.93,30.93,30.93,30.93
2017-01-01T17:00:00Z,2017-01-01T18:00:00+0100,38,,30.78,30.78,90,,59.07,59.07,59.07,59.07,59.07,59.07,59.07,59.07,59.07,59.07,85.78,59.07,59.07,59.07,59.07,85.78,59.07,30.78,30.78,30.78,30.78,30.78,30.78,30.78,30.78,30.78
2017-01-01T18:00:00Z,2017-01-01T19:00:00+0100,37,,30.51,30.51,55,,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,61.71,85.78,61.71,61.71,61.71,61.71,85.78,61.71,30.51,30.51,30.51,30.51,30.51,30.51,30.51,30.51,30.51
2017-01-01T19:00:00Z,2017-01-01T20:00:00+0100,32,,30.19,30.19,49.27,,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,56.26,85.78,56.26,56.26,56.26,56.26,85.78,56.26,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19,30.19
2017-01-01T20:00:00Z,2017-01-01T21:00:00+0100,30,,29.94,29.94,51.8,,55,55,55,55,55,55,55,55,55,55,85.78,55,55,55,55,85.78,55,29.94,29.94,29.94,29.94,29.94,29.94,29.94,29.94,29.94
2017-01-01T21:00:00Z,2017-01-01T22:00:00+0100,31,,29.65,29.65,49.06,,54,54,54,54,54,54,54,54,54,54,58.75,54,54,54,54,58.75,54,29.65,29.65,29.65,29.65,29.65,29.65,29.65,29.65,29.65
2017-01-01T22:00:00Z,2017-01-01T23:00:00+0100,24,,29.36,29.36,43.46,,52,52,52,52,52,52,52,52,52,52,58.75,52,52,52,52,58.75,52,29.36,29.36,29.36,29.36,29.36,29.36,29.36,29.36,29.36
2017-01-01T23:00:00Z,2017-01-02T00:00:00+0100,26,,29.4,29.4,45.96,,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4
2017-01-02T00:00:00Z,2017-01-02T01:00:00+0100,24,,28.91,28.91,43.95,,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,50.18,28.91,28.91,28.91,28.91,28.91,28.91,28.91,28.91,28.91
2017-01-02T01:00:00Z,2017-01-02T02:00:00+0100,23,,28.11,28.11,45,,49.11,49.11,49.11,49.11,49.11,49.11,49.11,49.11,49.11,49.11,49.11,49.11,49.11,49.11,49.11,49.11,49.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11,28.11
2017-01-02T02:00:00Z,2017-01-02T03:00:00+0100,22,,27.89,27.89,43.97,,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,28.24,28.24,27.89,27.89,28.24,27.89,27.89,27.89,27.89
2017-01-02T03:00:00Z,2017-01-02T04:00:00+0100,24,,27.73,28.26,42,,48.41,48.41,48.41,48.41,48.41,48.41,48.41,48.41,48.41,48.41,48.41,48.41,48.41,48.41,48.41,48.41,48.41,29.03,29.03,28.26,28.26,29.03,28.26,28.26,28.26,28.26
2017-01-02T04:00:00Z,2017-01-02T05:00:00+0100,27,,30.43,30.43,41.14,,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,48.15,30.43,30.43,30.43,30.43,30.43,30.43,30.43,30.43,30.43
2017-01-02T05:00:00Z,2017-01-02T06:00:00+0100,33,,32.85,32.85,43.92,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,32.85,31.19,31.47,31.47,31.19,32.85,32.85,32.85,32.85
2017-01-02T06:00:00Z,2017-01-02T07:00:00+0100,45,,33.91,33.91,51.74,,59.07,59.07,59.07,59.07,59.07,59.07,59.07,59.07,59.07,59.07,79.28,59.07,59.07,59.07,59.07,79.28,59.07,33.91,31.53,31.53,31.53,31.53,33.91,33.91,33.91,33.91
